Bookmarked Schools,School Name,School DBN,AP Courses Offered,,,,,,,,,,,,
,,,Arts,English,Government,History,Languages,Math,Science,Social Science,,,,,
,“47” The American Sign Language and English Secondary School,02M047,,English,,,,,Biology,,,,,,
,A. Philip Randolph Campus High School,06M540,,English,,,Spanish,Calculus,Biology,"Economics, Psychology",,,,,
,Abraham Lincoln High School,21K410,,English,,World History,,"Calculus, Statistics",Environmental Science,Human Geography,,,,,
,Academy for Careers in Television and Film (ACTV),30Q301,,English,,US History,,Calculus,Environmental Science,Psychology,,,,,
,Academy for College Preparation and Career Exploration: A College Board School,17K382,,English,,,,,Biology,,,,,,
,Academy for Conservation and the Environment,18K637,,English,,US History,,Calculus,Environmental Science,,,,,,
,Academy for Environmental Leadership,32K403,Studio Art,English,,,,,,,,,,,
,Academy for Language and Technology,09X365,,,US Government and Politics,,,,Environmental Science,,,,,,
,Academy for Scholarship and Entrepreneurship: A College Board School,11X270,,English,US Government and Politics,"US History, World History",,,"Biology, Environmental Science",,,,,,
,Academy for Social Action,05M367,Art History,,,,,,,,,,,,
,Academy for Software Engineering (AFSE),02M546,,English,US Government and Politics,,,"Calculus, Computer Science","Chemistry, Physics",,,,,,
,Academy for Young Writers,19K404,,English,US Government and Politics,,,Computer Science,,,,,,,
,Academy of American Studies,30Q575,,English,US Government and Politics,US History,Spanish,,Environmental Science,"Economics, Human Geography",,,,,
,Academy of Finance and Enterprise,24Q264,,English,US Government and Politics,"US History, World History",Spanish,"Calculus, Statistics",Chemistry,,,,,,
,Academy of Innovative Technology,19K618,,,,US History,Spanish,"Calculus, Computer Science",Biology,,,,,,
,Academy of Urban Planning,32K552,,English,,US History,Spanish,Calculus,Biology,Economics,,,,,
,ACORN Community High School,13K499,Studio Art,,,,,,Biology,,,,,,
,Alfred E. Smith Career and Technical Education High School,07X600,,English,,,,,Environmental Science,,,,,,
,All City Leadership Secondary School,32K554,,,Comparative Government and Politics,,,,,Psychology,,,,,
,Antonia Pantoja Preparatory Academy: A College Board School,08X376,,English,,,,Calculus,,,,,,,
,Art and Design High School,02M630,,English,,"US History, World History",Spanish,Calculus,"Biology, Chemistry",,,,,,
,Astor Collegiate Academy,11X299,Studio Art,English,,US History,Spanish,Statistics,Biology,,,,,,
,August Martin High School,27Q400,,,,,,Statistics,Environmental Science,,,,,,
,Automotive High School,14K610,,English,,US History,,,,Psychology,,,,,
