Bookmarked Schools,School Name,School DBN,CTE School?,Career Clusters,,,,,,,,,,,,,,,
,,,,"Agriculture, Food and Natural Resources",Architecture and Construction,"Arts, A/V Technology & Communication","Business, Management & Administration",Education and Training,Government and Public Administration,Health Science,Hospitality and Tourism,Human Services,Information Technology,Law and Public Safety,Manufacturing Production,"Marketing, Sales & Service",Recording Arts Technology/Technician,Scientific Research and Engineering,"Transportation, Distribution & Logistics"
,The Urban Assembly School for Emergency Management,02M135,Yes,,,,,,,,,,Emergency Communications & Technology,Emergency Management; Response & Recovery,,,,,
,Stephen T. Mather Building Arts & Craftsmanship High School,02M139,Yes,Landscape Management,Building Arts,,,,,,,,,,,,,,
,Manhattan Early College School for Advertising,02M280,Yes,,,,,,,,,,Advertising/Communications,,,,,,
,Urban Assembly Maker Academy,02M282,Yes,,,,,,,,,,"Computer Engineering Technologies/Technician, Other (Proposed Program in Physical Computing); Computer Programming/Programmer, General (Interaction Design); Computer Software and Media Applications, Other (Proposed Program in Digital Media)",,,,,,
,Food and Finance High School,02M288,Yes,,,,,,,,Culinary Arts,,,,,,,,
,Manhattan Business Academy,02M392,,,,,Entrepreneurship/Virtual Enterprise,,,,,,,,,,,,
,Business Of Sports School (BOSS),02M393,Yes,,,,Entrepreneurship and Business Management,,,,,,,,,,,,
,High School for Health Professions and Human Services,02M420,,,,,,,,Medical  Lab Assistant,,,,,,,,,
,High School of Economics and Finance,02M489,,,,,Academy of Finance; Entrepreneurship/Virtual Enterprise,,,,,,,,,,,,
,Urban Assembly Gateway School for Technology,02M507,Yes,,,Digital Design and Animation,,,,,,,A+ Computer Repair,,,,,Software Engineering Pilot,
,Talent Unlimited High School,02M519,,,,Dance; Drama,,,,,,,,,,,,,
,Murry Bergtraum High School for Business Careers,02M520,,,,,,,,,,,,Law Academy/Legal Studies; Law Enforcement Academy,,,,,
,Jacqueline Kennedy Onassis High School,02M529,,,,,Entrepreneurship/Virtual Enterprise,,,,Academy of Hospitality and Tourism,,,,,,,,
,Union Square Academy for Health Sciences,02M533,Yes,,,,,,,Dental Assistant; Pharmacy,,,,,,,,,
,Manhattan Bridges High School,02M542,,,,,,,,,,,Academy of Information Technology/AOIT,,Academy of Engineering,,,,
,Academy for Software Engineering (AFSE),02M546,Yes,,,,,,,,,,,,,,,Software Engineering,
,Urban Assembly New York Harbor School,02M551,Yes,Aquaculture; Marine Biology Research,,,,,,,,,,,Ocean Engineering,,,,Marine Systems Technology; Professional Diver; Vessel Operations
,The High School of Fashion Industries,02M600,Yes,,,Commercial Arts and Illustration,,,,,,,,,,Fashion Design; Fashion Merchandising/Marketing; Visual and  Fashion Merchandising,,,
,Chelsea Career and Technical Education High School,02M615,Yes,,,,,,,,,,A+ Computer Repair; Cisco Networking Academy,,Graphic Design,,,,
,Art and Design High School,02M630,Yes,,,Apparel Design; Commercial Photography; Film and Video Production; Illustration,,,,,,,,,"Architectural Design; Cartoon and Animation, Interactive Tech; Graphic Design",,,,
,The Maxine Greene High School for Imaginative Inquiry,03M299,,,,,Entrepreneurship/Virtual Enterprise,,,,,,,,,,,,
,The Urban Assembly School for Green Careers,03M402,Yes,Environmental Technology/Horticulture,Environmental Technology,,,,,,,,,,,,,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,,,,Dance; Drama; Technical Theatre,,,,,,,,,,,,,
,The Urban Assembly School for Global Commerce,05M157,Yes,,,,,,,,,,,,,,,Transportation Operations & Engineering,Terminal Operations (Proposed Program); Trade and Transportation Management (Proposed Program)
,Columbia Secondary School,05M362,,,,,,,,,,,,,,,,Engineering,
,"High School for Mathematics, Science and Engineering at City College (HSMSE)",05M692,,,,,,,,,,,,,,,,Engineering/Project Lead the Way,
,Inwood Early College for Health and Information Technologies,06M211,Yes,,,,,,,,,,Health Information Technology; Information Technology,,,,,,
,High School for Law and Public Service,06M467,,,,,,,,,,,,Law Academy/Legal Studies,,,,,
,"HERO High (Health, Education, and Research Occupations High School)",07X259,Yes,,,,,,,Community Health; Licensed Practical/Vocational Nurse Training,,,,,,,,,
,Bronx Design and Construction Academy,07X522,Yes,,Carpentry/Carpenter; Electrician; HVAC; Plumbing Technology,,,,,,,,,,,,,Pre-Engineering/Architectural Drafting,
,Alfred E. Smith Career and Technical Education High School,07X600,Yes,,,Graphic Design,,,,,,,,,,,,,Auto body - Collision Repair; Automotive Technician
,Herbert H. Lehman High School,08X405,,,,,,,,,,,Information Technology,Law Academy/Legal Studies,,,,,
,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",08X519,,,,,,,,,,,,Law Academy/Legal Studies,,,,,
,Academy for Language and Technology,09X365,,,,,,,,,,,Academy of Information Technology/Computer Science; Media Communications,,,,,,
,Bronx International High School,09X403,,,Construction Engineering Technology/Technician/ Historic Preservation/Sustainability,,,,,,,,,,,,,,
,Bronx High School of Business,09X412,,,,,Entrepreneurship/Virtual Enterprise,,,,,,,,,,,,
,Bronx Engineering and Technology Academy,10X213,,,,,,,,,,,,,Technology Education Pre-Engineering -PLTW,,,,
,Bronx Academy for Software Engineering (BASE),10X264,Yes,,,,,,,,,,,,,,,Software Engineering,
,Bronx School of Law and Finance,10X284,,,,,Academy of Finance,,,,,,,Law Academy/Legal Studies,,,,,
,In-Tech Academy (M.S. / High School 368),10X368,,,,,Entrepreneurship/Virtual Enterprise,,,,,,CISCO Networking Academy,,,,,,
,High School for Teaching and the Professions,10X433,,,,,Entrepreneurship/Virtual Enterprise,,,,,,,,,,,,
,Fordham High School for the Arts,10X437,,,,Drama,,,,,,,,,,,,,
,Bronx High School for Law and Community Service,10X439,,,,,,,,,,,,Law Enforcement Academy,,,,,
,DeWitt Clinton High School,10X440,,,,,Business,,,,,,,,,,,,
,Crotona International High School,10X524,Yes,,,,,,,,,,Recording Arts Technology/Technician,,,,,,
,High School for Energy and Technology,10X565,Yes,,Facilities Management/HVAC,,,,,,,,,,,,,,
,Academy for Scholarship and Entrepreneurship: A College Board School,11X270,,,,,Entrepreneurship/Virtual Enterprise,,,,,,,,,,,,
,High School of Computers and Technology,11X275,Yes,,,,,,,,,,Computers & Technology,,,,,,
,Bronx High School for the Visual Arts,11X418,,,,,,,,,,,,,Graphic Design,,,,
,Harry S Truman High School,11X455,,,,,,,,,,,,Law Enforcement Academy,,,,,
,Bronxdale High School,11X508,,,,,,,,,Culinary Arts,,,,,,,,
,"Science Skills Center High School for Science, Technology and the Creative Arts",13K419,,,,,,,,,,,,,Pre-Engineering/Project Lead the Way,,,,
,Brooklyn Technical High School,13K430,,,,Media,Entrepreneurship/Entrepreneurial Studies,,,,,,,Criminal Justice/Law Academy,"Civil Engineering, Architecture and General Technology; Computer Integrated Manufacturing",,,,
,George Westinghouse Career and Technical Education High School,13K605,Yes,,Electrician,,,,,,Culinary Arts,,Computer Support Services; Web Design,,,,,,
,"City Polytechnic High School of Engineering, Architecture, and Technology",13K674,Yes,,,,,,,,,,,,,,,Pre-Engineering,
