Bookmarked Schools,Program Information,,,,,,,Program Demand,,,,Program Priorities,Selection Criteria (previous year's minimum grades),,,,,,Demonstrated Interest Used?,Additional Requirements?
,School Name,School DBN,Borough,Program Code and Name,Admissions Method,Grade Level,Interest Area,GE Applicants Per Seat,GE Filled?,SWD Applicants Per Seat,SWD Filled?,Percent of Offers to Students in the First Priority Group,English Course Grade,Math Course Grade,Social Studies Course Grade,Science Course Grade,English Standardized Test Score,Math Standardized Test Score,,
,Life Sciences Secondary School,02M655,M,M40B - Life Sciences for Current Students,For Continuing 8th Graders,9,Health Professions,N/A,N/A,N/A,N/A,100% of offers went to continuing 8th graders,,,,,,,,
,NYC Lab School for Collaborative Studies,02M412,M,M74A - College Prep,Screened,9/10,Humanities & Interdisciplinary,32,Y,13,Y,100% of offers went to District 2 students or residents,85,85,87,88,2.7,2.9,,
,The Urban Assembly School for Green Careers,03M402,M,A13A - The Urban Assembly School for Green Careers,Limited Unscreened,9/10,Environmental Science,1,N,3,N,33% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,Manhattan International High School,02M459,M,M93A - Humanities and Interdisciplinary,Screened: Language,9,Humanities & Interdisciplinary,5,N,2,N,100% of offers went to New York City residents living in the United States four years or fewer who are English Language Learners,,,,,,,,
,Columbia Secondary School,05M362,M,A15A - Columbia Secondary School,Screened,9,Science & Math,28,Y,9,Y,57% of offers went to continuing 8th graders,91,91,90,90,3.1,3.8,,Yes
,Inwood Early College for Health and Information Technologies,06M211,M,A16A - Inwood Early College for Health & Information Technologies,Limited Unscreened,9/10,Computer Science & Technology,9,Y,10,Y,22% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,The Global Learning Collaborative,03M403,M,A17A - The Global Learning Collaborative,Limited Unscreened,9,Humanities & Interdisciplinary,5,Y,8,Y,34% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,International High School at Union Square,02M438,M,Y46A - International High School at Union Square,Screened: Language,9/10,Humanities & Interdisciplinary,2,N,2,N,100% of offers went to New York City residents living in the United States four years or fewer who are English Language Learners,,,,,,,,
,Manhattan Academy for Arts & Language,02M427,M,A22A - Manhattan Academy for Arts & Language,Screened: Language,9/10,Humanities & Interdisciplinary,3,N,2,N,100% of offers went to New York City residents who are English Language Learners (ELL),,,,,,,,
,Frank McCourt High School,03M417,M,A21A - Frank McCourt High School,Screened,9/10,Humanities & Interdisciplinary,17,Y,10,Y,N/A: Open to New York City residents,78,72,75,76,2.0,2.0,,Yes
,Food and Finance High School,02M288,M,M34X - Food and Finance High School,Limited Unscreened,9/10,Culinary Arts,16,Y,19,Y,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Pace High School,02M298,M,M38X - PACE High School,Limited Unscreened,9,Humanities & Interdisciplinary,36,Y,22,Y,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,High School for Excellence and Innovation,06M423,M,A24A - High School for Excellence and Innovation,Limited Unscreened,9,Humanities & Interdisciplinary,4,N/A,5,N/A,100% of offers went to 15-16-year-old New York City residents entering high school for the first time,,,,,,,Yes,
,Manhattan Bridges High School,02M542,M,M57D - Dual Language Spanish Pre-Engineering,Screened: Language & Academics,9,Engineering,10,N,7,N,100% of offers went to New York City residents whose home language is Spanish and are proficient in English,70,70,65,70,1.9,1.9,,
,Manhattan Bridges High School,02M542,M,M57E - Dual Language Spanish Information Technology and Computer Science,Screened: Language & Academics,9,Computer Science & Technology,9,Y,7,N,100% of offers went to New York City residents whose home language is Spanish and are proficient in English,70,69,70,70,1.7,1.6,,
,Manhattan Bridges High School,02M542,M,M57B - Bilingual Spanish Information Technology and Computer Science,Screened: Language & Academics,9/10,Computer Science & Technology,7,Y,3,N,"100% of offers went to New York City residents whose home language is Spanish, are of limited English proficiency and have lived in the United States fewer than three years",70,69,70,70,,,,
,Manhattan Bridges High School,02M542,M,M57C - Bilingual Spanish Pre-Engineering,Screened: Language & Academics,9,Engineering,9,Y,3,N,"100% of offers went to New York City residents whose home language is Spanish, are of limited English proficiency and have lived in the United States fewer than three years",72,65,70,68,1.5,1.6,,
,Esperanza Preparatory Academy,04M372,M,A37A - Esperanza Preparatory Academy,Screened: Language,9,Science & Math,6,Y,9,Y,56% of offers went to continuing 8th graders,,,,,,,,
,Union Square Academy for Health Sciences,02M533,M,A33B - Dental Assistant,Limited Unscreened,9,Health Professions,5,Y,4,N,13% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,The High School For Language And Diplomacy,02M399,M,A11A - High School for Language and Diplomacy,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,2,N,15% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,Special Music School,03M859,M,"A85A - Voice, Instrument, and Composition",Audition: pre-registration,9/10,Performing Arts,9,Y,4,N,16% of offers went to continuing 8th graders,75,65,66,74,,,,Yes
,School for Democracy and Leadership,17K533,BK,K01J - Math/Science Leadership,Limited Unscreened,9/10,Science & Math,4,N,4,N,25% of offers went to continuing 8th graders,,,,,,,Yes,
,School for Democracy and Leadership,17K533,BK,K01X - Humanities Institute,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,1,N,11% of offers went to continuing 8th graders,,,,,,,Yes,
,Brooklyn Secondary School for Collaborative Studies,15K448,BK,K03R - Brooklyn School for Collaborative Studies,Limited Unscreened,9/10,Humanities & Interdisciplinary,10,Y,13,Y,49% of offers went to continuing 8th graders,,,,,,,Yes,
,The School for Human Rights,17K531,BK,K04X - The School for Human Rights,Unscreened,9/10,Humanities & Interdisciplinary,4,N,4,N,36% of offers went to continuing 8th graders,,,,,,,,
,Origins High School,22K611,BK,K05A - Origins High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,3,N,23% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,High School for Youth and Community Development at Erasmus,17K537,BK,K06B - Arts,Limited Unscreened,9/10,Performing Arts/Visual Art & Design,4,N,5,N,85% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,High School for Youth and Community Development at Erasmus,17K537,BK,K06C - Media,Limited Unscreened,9/10,Film/Video,3,N,5,N,67% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Brooklyn Preparatory High School,14K488,BK,K07X - Brooklyn Preparatory High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,10,Y,7,Y,55% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,The Urban Assembly School for Law and Justice,13K483,BK,K08X - Urban Assembly School for Law and Justice,Limited Unscreened,9/10,Law & Government,16,Y,9,Y,94% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Williamsburg High School for Architecture and Design,14K558,BK,K09X - Architecture and Design,Limited Unscreened,9,Architecture,9,Y,8,Y,53% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Boys and Girls High School,16K455,BK,K10A - Brooklyn STEAM Center,Screened,9,Engineering,9,N,16,Y,100% of offers went to Brooklyn students or residents,55,55,55,55,1.7,1.5,,Yes
,Boys and Girls High School,16K455,BK,K10E - Smart Scholars Early College Program,Screened,9,Science & Math,3,N,3,N,100% of offers went to Brooklyn students or residents,55,55,55,55,1.8,1.6,,Yes
,Boys and Girls High School,16K455,BK,K10S - Institute for Computer and Technology,Screened,9/10,Computer Science & Technology,1,N,2,N,100% of offers went to Brooklyn students or residents,55,55,55,55,1.7,1.5,,Yes
,Boys and Girls High School,16K455,BK,K10Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Juan Morel Campos Secondary School,14K071,BK,K11A - Visual Art and Design,Audition*: pre-registration,9,Visual Art & Design,2,N,4,Y,83% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Juan Morel Campos Secondary School,14K071,BK,K11B - Instrumental Music,Audition*: pre-registration,9,Performing Arts,2,N,1,N,80% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Juan Morel Campos Secondary School,14K071,BK,K11E - Theater Arts,Audition*: pre-registration,9,Performing Arts,1,N,1,N,75% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Juan Morel Campos Secondary School,14K071,BK,K11X - Juan Morel Campos Secondary School,Limited Unscreened,9/10,Humanities & Interdisciplinary,1,N,3,N,73% of offers went to continuing 8th graders,,,,,,,Yes,
,"Science, Technology and Research Early College High School at Erasmus (STAR)",17K543,BK,K14A - Early College,Screened,9/10,Science & Math,12,Y,5,N,30% of offers went to continuing 8th graders,73,71,71,75,2.3,2.5,,Yes
,Nelson Mandela High School,16K765,BK,K15A - Nelson Mandela School for Social Justice,Limited Unscreened,9,Humanities & Interdisciplinary,3,N,4,N,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Franklin Delano Roosevelt High School,20K505,BK,K16A - STEAM -Robotics/Programming,Ed. Opt.,9/10,Computer Science & Technology,7,Y,8,Y,100% of offers went to Brooklyn students or residents,,,,,,,,
