Type an 'x' in this column to bookmark this school in the 'Programs' tab,School Name,"School DBN Code (Link to NYC School Finder)",Borough,Number of Programs at School,10th Grade Seats Offered?,School Type,"Neighborhood (Link to map of school address)","School Graduation Rate (Links to School Quality Snapshot)",Student Attendance Rate,Percent of students who feel safe,AP Courses Offered? (Link to AP Courses tab),Bilingual Programs at School?,CTE Offered? (Link to CTE Programs tab),Site Accessibility,DBN Ref,Bookmark
,“47” The American Sign Language and English Secondary School,02M047,M,1,Yes,,Gramercy,55%,88%,92%,Yes,,,Accessible,02M047,0
,A. Philip Randolph Campus High School,06M540,M,5,,,Manhattanville,83%,86%,82%,Yes,DL: Spanish,,Accessible,06M540,0
,Abraham Lincoln High School,21K410,BK,6,Yes,,West Brighton,66%,83%,75%,Yes,,Yes,Accessible,21K410,0
,Academy for Careers in Television and Film (ACTV),30Q301,Q,1,,,Hunters Point-Sunnyside,98%,94%,93%,Yes,,Yes,Accessible,30Q301,0
,Academy for College Preparation and Career Exploration: A College Board School,17K382,BK,1,,,Flatbush,59%,83%,65%,Yes,,,Accessible,17K382,0
,Academy for Conservation and the Environment,18K637,BK,1,Yes,,Canarsie,83%,85%,74%,Yes,,,Accessible,18K637,0
,Academy for Environmental Leadership,32K403,BK,1,,,Bushwick,70%,82%,80%,Yes,,,Accessible,32K403,0
,Academy for Health Careers,17K751,BK,1,Yes,,Crown Heights North,73%,84%,77%,,,Yes,Accessible,17K751,0
,Academy for Language and Technology,09X365,BX,3,,School for New Arrivals,University Heights-Morris Heights,94%,92%,95%,Yes,TBE: Spanish,Yes,Accessible,09X365,0
,Academy for Scholarship and Entrepreneurship: A College Board School,11X270,BX,1,Yes,,Williamsbridge-Olinville,70%,85%,72%,Yes,,Yes,Accessible,11X270,0
,Academy for Social Action,05M367,M,1,,,Manhattanville,58%,71%,77%,Yes,,,Not Accessible,05M367,0
,Academy for Software Engineering (AFSE),02M546,M,1,,,Gramercy,N/A,93%,88%,Yes,,Yes,Accessible,02M546,0
,Academy for Young Writers,19K404,BK,1,,,East New York,75%,89%,83%,Yes,TBE: Spanish,,Accessible,19K404,0
,Academy of American Studies,30Q575,Q,2,Yes,,Queensbridge-LIC,88%,94%,93%,Yes,,,Not Accessible,30Q575,0
,Academy of Finance and Enterprise,24Q264,Q,1,Yes,,Hunters Point-Sunnyside,94%,93%,91%,Yes,,Yes,Accessible,24Q264,0
,Academy of Hospitality and Tourism,17K408,BK,1,Yes,,Flatbush,63%,83%,73%,,,Yes,Accessible,17K408,0
,Academy of Innovative Technology,19K618,BK,1,,,Cypress Hills,78%,82%,86%,Yes,,Yes,Accessible,19K618,0
,Academy of Medical Technology: A College Board School,27Q309,Q,2,Yes,,Far Rockaway-Bayswater,64%,84%,83%,,,,Not Accessible,27Q309,0
,Academy of Urban Planning,32K552,BK,1,Yes,,Bushwick,55%,82%,79%,Yes,,,Accessible,32K552,0
,ACORN Community High School,13K499,BK,2,Yes,,Crown Heights North,49%,79%,78%,Yes,,,Accessible,13K499,0
,Alfred E. Smith Career and Technical Education High School,07X600,BX,3,,,Melrose S.-Mott Haven N.,70%,83%,77%,Yes,TBE: Spanish,Yes,Accessible,07X600,0
,All City Leadership Secondary School,32K554,BK,1,,,Bushwick,90%,94%,99%,Yes,,,Not Accessible,32K554,0
,Antonia Pantoja Preparatory Academy: A College Board School,08X376,BX,1,,,Castle Hill-Clason Point,61%,81%,69%,Yes,,,Accessible,08X376,0
