Bookmarked Schools,School Name,School DBN,Neighborhood,Subway Information,Bus Information
,“47” The American Sign Language and English Secondary School,02M047,Gramercy,"4, 5, Q to 14th St-Union Square ; 6, N, R to 23rd St ; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,A. Philip Randolph Campus High School,06M540,Manhattanville,"1 to 137th St - City College ; A, D to 125th St ; B, C to 135th St","Bx15, Bx19, Bx33, M10, M100, M101, M104, M11, M2, M3, M4, M5"
,Abraham Lincoln High School,21K410,West Brighton,B to Brighton Beach; F to Neptune Ave-Van Siclen; Q to Ocean Parkway,"B1, B36, B4, B68"
,Academy for Careers in Television and Film (ACTV),30Q301,Hunters Point-Sunnyside,7 to Vernon Blvd-Jackson Ave ; G to 21st St,"B32, B43, B62, Q103"
,Academy for College Preparation and Career Exploration: A College Board School,17K382,Flatbush,"2, 5, B, Q to Church Ave","B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4"
,Academy for Conservation and the Environment,18K637,Canarsie,N/A,"B103, B47, B6, B82, BM1, BM2"
,Academy for Environmental Leadership,32K403,Bushwick,"L, M to Myrtle Ave-Wyckoff Ave","B13, B20, B26, B38, B52, B54, B60, Q55, Q58"
,Academy for Health Careers,17K751,Crown Heights North,3 to Kingston Ave; A to Utica Ave; C to Kingston-Throop,"B15, B25, B26, B43, B44, B45, B46, B65"
,Academy for Language and Technology,09X365,University Heights-Morris Heights,"4 to 176th St ; B, D to 174th-175th Sts","Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx42, BxM4"
,Academy for Scholarship and Entrepreneurship: A College Board School,11X270,Williamsbridge-Olinville,"2, 5 to 225th St","Bx31, Bx39, Bx8, BxM11"
,Academy for Social Action,05M367,Manhattanville,"1, A, B, C, D to 125th St","Bx15, Bx33, M10, M100, M101, M104, M11, M3, M4, M5, M60-SBS"
,Academy for Software Engineering (AFSE),02M546,Gramercy,"1, 2, 3, F, M to 14th St - 6th Ave ; 4, 5, 6, L, N, Q, R to 14th St-Union Square ; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M8, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Academy for Young Writers,19K404,East New York,N/A,"B100, B13, B20, B3, B41, B47, B6, B83, B84, BM1, BM5, Q8"
,Academy of American Studies,30Q575,Queensbridge-LIC,"7, N, Q to Queensboro Plaza; E, M, R to Queens Plaza; F to 21st St – Queensbridge; G to Court Sq – 23rd St","B62, Q100, Q101, Q102, Q103, Q32, Q39, Q60, Q66, Q67, Q69"
,Academy of Finance and Enterprise,24Q264,Hunters Point-Sunnyside,"7 to 33rd St ; E, M, R to Queens Plaza ; G to Court Sq - 23rd St ; N, Q to Queensboro Plaza","B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69"
,Academy of Hospitality and Tourism,17K408,Flatbush,"2, 5, B, Q to Church Ave","B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4"
,Academy of Innovative Technology,19K618,Cypress Hills,"J, Z to 75th St – Elderts Lane","B13, Q56"
,Academy of Medical Technology: A College Board School,27Q309,Far Rockaway-Bayswater,A to Beach 25th St-Wavecrest,"Q114, Q22, QM17"
,Academy of Urban Planning,32K552,Bushwick,"L, M to Myrtle Ave-Wyckoff Ave","B13, B20, B26, B38, B52, B54, B60, Q55, Q58"
,ACORN Community High School,13K499,Crown Heights North,"2, 3 to Eastern Parkway-Brooklyn Museum; C to Franklin Ave; F, S to Park Place","B25, B26, B44, B44-SBS, B45, B48, B49, B52, B65, B69"
,Alfred E. Smith Career and Technical Education High School,07X600,Melrose S.-Mott Haven N.,"4 to 149th St-Grand Concourse ; 2, 5 to 3rd Ave-149th St","Bx1, Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6, BxM4"
,All City Leadership Secondary School,32K554,Bushwick,"L, M to Myrtle Ave-Wyckoff Ave","B13, B26, B38, B52, B54, B60, Q55, Q58"
,Antonia Pantoja Preparatory Academy: A College Board School,08X376,Castle Hill-Clason Point,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8"
,"Archimedes Academy for Math, Science and Technology Applications",08X367,Castle Hill-Clason Point,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5"
,Art and Design High School,02M630,E. Midtown,"4, 5, 6, N, Q, R to Lexington Ave-59 St ; 6, E, M to Lexington Ave-53 St ; F to Lexington Ave-63 St","BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M50, M57, Q101, Q32, Q60, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X10, X10B, X12, X14, X17, X17J, X2, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68"
,Arts & Media Preparatory Academy,18K589,Prospect Lefferts Gardens,N/A,"B12, B15, B17, B35, B46, B47, B7"
,Astor Collegiate Academy,11X299,Bronxdale,"2, 5 to Pelham Parkway","Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11"
,August Martin High School,27Q400,Springfield Gardens North,N/A,"Q111, Q113, Q114, Q6, Q7, QM21"
,Automotive High School,14K610,Williamsburg,G to Nassau Ave; L to Bedford Ave,"B32, B43, B48, B62"
,Aviation Career & Technical Education High School,24Q610,Hunters Point-Sunnyside,7 to 33rd St,"B24, Q32, Q39, Q60, Q67"
,Baccalaureate School for Global Education,30Q580,Queensbridge-LIC,"M, R to 36th St ; N, Q to 36th Ave-Washington Ave","Q101, Q102, Q104, Q66"
,Banana Kelly High School,08X530,Longwood,"2, 5 to Prospect Ave ; 6 to Longwood Ave","Bx17, Bx19, Bx4, Bx46, Bx4A, Bx5, Bx6"
,Bard High School Early College,01M696,Lower East Side,"F to Delancey St; J, M, Z to Essex St","M14A, M14D, M21, M22, M8, M9, X37, X38"
,Bard High School Early College Queens,24Q299,Hunters Point-Sunnyside,"7 to 33rd St ; E, M, R to Queens Plaza ; G to Court Sq - 23rd St ; N, Q to Queensboro Plaza","B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69"
,Baruch College Campus High School,02M411,Chelsea-Union Sq,"4, 5, L, Q to 14th St-Union Square ; 6, F, M, N, R to 23rd St ; B, D to 34th St-Herald Square","BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M23, M3, M34A-SBS, M34-SBS, M4, M5, M7, M9, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X22, X22A, X27, X28, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Bayside High School,26Q495,Bayside-Bayside Hills,N/A,"Q13, Q28, Q31, Q76, QM20"
,Beacon High School,03M479,Clinton,"1, 2, 3, 7, N, Q, R, S to 42nd ST–Times Square","M104, M11, M12, M20, M34A-SBS, M34-SBS, M42, M50, X17J, X21, X22, X22A, X30, X31"
,Bedford Academy High School,13K595,Bedford-Stuyvesant,"A to Nostrand Ave; C, S to Franklin Ave; G to Bedford-Nostrand","B25, B26, B38, B43, B44, B44-SBS, B48, B49, B52"
,Belmont Preparatory High School,10X434,Belmont,"B, D to Fordham Rd","Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4"
,Benjamin Banneker Academy,13K670,Clinton Hill,N/A,"B38, B48, B54, B57, B62, B67, B69"
